gameId,playId,ballCarrierId,ballCarrierDisplayName,playDescription,quarter,down,yardsToGo,possessionTeam,defensiveTeam,yardlineSide,yardlineNumber,gameClock,preSnapHomeScore,preSnapVisitorScore,passResult,passLength,penaltyYards,prePenaltyPlayResult,playResult,playNullifiedByPenalty,absoluteYardlineNumber,offenseFormation,defendersInTheBox,passProbability,preSnapHomeTeamWinProbability,preSnapVisitorTeamWinProbability,homeTeamWinProbabilityAdded,visitorTeamWinProbilityAdded,expectedPoints,expectedPointsAdded,foulName1,foulName2,foulNFLId1,foulNFLId2
2022100908,3537,48723,Parker Hesse,(7:52) (Shotgun) M.Mariota pass short middle to P.Hesse to 50 for 9 yards (K.Neal).,4,1,10,ATL,TB,ATL,41,7:52,21,7,C,6,NA,9,9,N,69,SHOTGUN,7,0.747284412,0.976784671,0.023215329,-0.006110488,0.006110488,2.360608883,0.981955114,NA,NA,NA,NA
2022091103,3126,52457,Chase Claypool,(7:38) (Shotgun) C.Claypool right end to PIT 37 for 3 yards (C.Awuzie).,4,1,10,PIT,CIN,PIT,34,7:38,14,20,,NA,NA,3,3,N,76,SHOTGUN,7,0.41645366,0.160484683,0.839515317,-0.010864805,0.010864805,1.733344087,-0.263423888,NA,NA,NA,NA
2022091111,1148,42547,Darren Waller,(8:57) D.Carr pass short middle to D.Waller to LV 45 for 15 yards (N.Adderley).,2,2,5,LV,LAC,LV,30,8:57,10,3,C,11,NA,15,15,N,40,I_FORM,6,0.267932802,0.756661031,0.243338969,-0.037408687,0.037408687,1.312854562,1.133666198,NA,NA,NA,NA
2022100212,2007,46461,Mike Boone,(13:12) M.Boone left tackle to DEN 44 for 7 yards (J.Abram; D.Deablo).,3,2,10,DEN,LV,DEN,37,13:12,19,16,,NA,NA,7,7,N,47,SINGLEBACK,6,0.59270364,0.62055194,0.37944806,-0.002451338,0.002451338,1.641005932,-0.043579785,NA,NA,NA,NA
2022091900,1372,47857,Devin Singletary,(8:33) D.Singletary right guard to TEN 32 for 3 yards (N.Jones; O.Adeniyi). TEN-O.Adeniyi was injured during the play. His return is Questionable.  O.Adeniyi walks off.,2,1,10,BUF,TEN,TEN,35,8:33,7,7,,NA,NA,3,3,N,75,I_FORM,7,0.470508307,0.836289827,0.163710173,0.001052896,-0.001052896,3.686428418,-0.16790315,NA,NA,NA,NA
2022103001,2165,54616,Tyler Allgeier,(10:14) (Shotgun) M.Mariota pass short left to T.Allgeier to ATL 23 for 5 yards (D.Jackson).,3,3,17,ATL,CAR,ATL,18,10:14,14,13,C,-5,NA,5,5,N,28,SHOTGUN,5,0.908870161,0.599478513,0.400521487,-0.030627687,0.030627687,-1.484903958,-0.639661094,NA,NA,NA,NA
2022100207,2933,38538,Ryan Tannehill,(13:31) (Shotgun) R.Tannehill scrambles up the middle to TEN 28 for 3 yards (Z.Franklin). IND-T.Lewis was injured during the play. TEN-T.Burks was injured during the play. He is Out.,4,3,5,TEN,IND,TEN,25,13:31,17,24,R,NA,NA,3,3,N,85,EMPTY,4,0.973271787,0.2308814,0.7691186,0.027645465,-0.027645465,0.137271853,-1.269623758,NA,NA,NA,NA
2022102310,56,46377,Jeffery Wilson,(15:00) J.Wilson left tackle to SF 32 for 7 yards (W.Gay; J.Reid).,1,1,10,SF,KC,SF,25,15:00,0,0,,NA,NA,7,7,N,85,SINGLEBACK,7,0.497866362,0.56872109,0.43127891,0.001382213,-0.001382213,1.298698674,0.28234028,NA,NA,NA,NA
2022102310,1318,41325,Jerick McKinnon,(10:31) (Shotgun) J.McKinnon left guard to KC 49 for 9 yards (T.Moore).,2,1,10,KC,SF,KC,40,10:31,13,7,,NA,NA,9,9,N,70,SHOTGUN,6,0.496856838,0.679606494,0.320393506,-0.015302632,0.015302632,1.827772834,0.733410456,NA,NA,NA,NA
2022092511,2903,46096,Rashaad Penny,(:35) (Shotgun) G.Smith pass short left to R.Penny to SEA 28 for 3 yards (M.Walker).,3,1,10,SEA,ATL,SEA,25,0:35,23,27,C,-5,NA,3,3,N,85,SHOTGUN,7,0.604373574,0.344335839,0.655664161,-0.018103462,0.018103462,0.98643843,-0.47784495,NA,NA,NA,NA
